StoreCode,lat,lon,HEAD,Area_manager,Supervisor,District,Main_City,City,Format,Growth_Phase,Status
P208,21.76194558,39.19857584,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Organic,Operating
P221,21.76162619,39.22333096,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Organic,Operating
P224,21.59585917,39.24883873,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Organic,Operating
P247,21.75495709,39.18569488,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Organic,Operating
P252,21.84659829,39.19460958,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Organic,Operating
P290,21.61218167,39.24027104,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Organic,Operating
P305,21.59719372,39.25428305,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Child,Operating
P334,22.08825448,39.31385352,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Child,Operating
P335,21.84653916,39.20271683,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Destination,Child,Operating
P344,21.97208429,39.36216781,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Child,Operating
P345,22.79948181,39.03554243,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Child,Operating
P411,22.79764184,39.03308305,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Infant,Operating
P420,22.31078169,39.10172086,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Infant,Operating
P459,21.77561271,39.21268297,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Infant,Operating
P475,21.59419228,39.14375049,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Provider,Infant,Operating
P476,21.85833606,39.19297156,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Convenient,Pipeline,Pipeline
P485,21.58327716,39.22927725,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,Provider,Infant,Operating
P498,21.7576429,39.07661051,M. Salem,H.Mady,Osama Eisa,Jeddah,JED-1,Jeddah,No Data,Pipeline,Pipeline
P030,21.26742112,40.45646676,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P072,21.24732448,40.44331295,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P074,21.24703384,40.44385916,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P088,21.26527772,40.42876559,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P131,21.22018898,40.54151819,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P134,21.20882723,40.58356267,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P161,21.21098827,40.57507362,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P269,21.26327893,40.45966863,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Convenient,Organic,Operating
P348,21.26445619,40.41388637,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Provider,Child,Operating
P349,21.26496069,40.42128516,HEAD4,I.Elsokkary,Reem  Eloutibi,Taif,Taif,Taif,Provider,Child,Operating
P012,19.58045954,41.66530412,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Organic,Operating
P135,19.79035061,41.43429121,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-mukhawa,Convenient,Infant,Operating
P174,20.07386647,41.44850979,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Organic,Operating
P219,20.27022176,41.65281493,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Organic,Operating
P220,19.86601472,41.56810936,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Organic,Operating
P222,20.14458984,41.29168643,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Organic,Operating
P223,20.01225374,41.46485775,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Organic,Operating
P234,19.78133778,41.43806108,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-mukhawa,Convenient,Organic,Operating
P235,19.12641219,41.08164978,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Qunfuthah,Qunfuthah,Convenient,Organic,Operating
P267,19.11836603,41.08540529,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Qunfuthah,Qunfuthah,Provider,Child,Operating
P294,19.13362415,41.07841872,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Qunfuthah,Qunfuthah,Convenient,Organic,Operating
P297,20.04820851,41.44824454,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Child,Operating
P299,19.86436538,41.56491593,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Provider,Organic,Operating
P301,19.77629311,41.43624922,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-mukhawa,Provider,Organic,Operating
P302,19.53530452,41.04943696,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Muzaylif,Provider,Organic,Operating
P314,19.8648056,41.57333263,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Child,Operating
P316,20.01654867,41.47141599,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Infant,Operating
P328,20.16980934,41.38122465,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Child,Operating
P347,18.97872819,41.32008265,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Child,Operating
P428,20.27046408,41.65865461,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Infant,Operating
P430,20.06107726,41.44851289,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Convenient,Infant,Operating
P470,20.00330563,41.46687233,HEAD4,I.Elsokkary,Yaser Abdul Ati,Al-Bahah,Al-Bahah,Al-Bahah,Provider,Infant,Operating
